日期,一级分类,二级分类,金额,成员,备注,是否共同开销,月份
2026/05/23,购物,日用品,4.78,ljy,商户单号XP242605230710141996949,否,05
2026/05/23,购物,电器,41.19,ljy,九成新二手商场展示机原装夏普电视,否,05
2026/05/23,交通,地铁,6.00,ljy,地铁_西小口,否,05
2026/05/23,购物,服饰,168.00,ljy,扫收钱码付款-给飞鸵,否,05
2026/05/23,餐饮,三餐,53.00,ljy,虹桥海鲜面馆,否,05
2026/05/23,交通,地铁,6.00,ljy,地铁_木樨园,否,05
2026/05/25,交通,地铁,5.00,ljy,地铁_西小口,否,05
2026/05/25,餐饮,三餐,11.00,ljy,北京超意兴餐饮文化有限公司,否,05
2026/05/25,交通,地铁,5.00,ljy,地铁_西土城,否,05
2026/05/26,餐饮,三餐,18.00,ljy,扫经营码付款-给山西刀削面,否,05
2026/05/27,餐饮,三餐,13.00,ljy,北京超意兴餐饮文化有限公司,否,05
2026/05/28,餐饮,三餐,14.00,ljy,北京超意兴餐饮文化有限公司,否,05
2026/05/29,交通,地铁,6.00,ljy,地铁_西小口,否,05
2026/05/29,文化,会员订阅,199.00,ljy,Kimi Vip（自动扣款）,否,05
2026/05/30,宠物,保险,34.75,ljy,2026.5月保费缴清-宠物医保-**宇,否,05
2026/05/30,交通,地铁,6.00,ljy,地铁_北京西站,否,05
2026/05/31,交通,地铁,4.00,ljy,地铁_西小口,否,05
2026/05/31,交通,单车,1.50,ljy,单车,否,05
2026/05/31,交通,地铁,4.00,ljy,地铁_安德里北街,否,05
